あい薬局 田面木店,あい,0178-70-7373,0178-70-7374
アイセイ薬局東八戸店,あいせい,0178-32-7089,0178-32-7086
アイセイ薬局是川店,あいせい,0178-71-8111,0178-71-8112
アイン薬局八戸東店,あいん,0178-71-1282,0178-71-1283
アイン薬局ひばかり店,あいん,0178-28-3900,0178-28-0751
イオン薬局八戸田向店,いおん,0178-71-8861,0178-71-8862
イオン薬局八戸沼館店,いおん,0178-38-8434,0178-38-8435
いちご薬局八戸日赤前店,いちご,0178-80-7615,0178-80-7614
うぐいす薬局,うぐいす,0178-80-1133,0178-80-1131
売市薬局,うるいち,0178-51-8410,0178-51-8411
エンゼル薬局,えんぜる,0178-72-3200,0178-72-3201
柏崎調剤薬局,かしわざき,0178-43-8500,0178-43-8517
キング薬局,きんぐ,0194-61-1360,0194-52-7051
こかぐち薬局,こかぐち,0178-22-2785,0178-22-4550
サンケア薬局湊高台店,さんけあ,0178-25-7025,0178-25-7050
サンケア薬局南類家店,さんけあ,0178-80-7456,0178-80-7467
田村調剤薬局,たむら,0178-35-4890,0178-35-4891
なの花薬局白山台店,なのはな,0178-51-6671,0178-51-6672
ニュータウン薬局,にゅーたうん,0178-27-0242,0178-27-0248
八戸南薬局,はちのへみなみ,0178-30-1312,0178-25-7211
ハッピー調剤薬局八戸類家店,はっぴー,0178-38-7363,0178-38-7366
薬局名,ふりがな,TEL番号,FAX番号
ベル薬局,べる,0178-29-2914,0178-29-2919
みなと薬局,みなと,0178-33-1070,0178-33-1370
みはな薬局,みはな,0178-32-3137,0178-33-6734
類家メディカル調剤薬局,るいけめでぃかる,0178-24-4128,0178-24-4138
